index,tag,depth,id,classes,attrs,inner_text_len
332,img,9,,breakpoint rating-image,"{""src"": ""/static-assets/content-assets/cms2/img/video-games/_tiles/tcg-pocket/2026/07/23/pokemon-tcg-pocket-169-en.png"", ""data-maxwidth720px"": ""/static-assets/content-assets/cms2/img/video-games/_tiles/tcg-pocket/2026/07/23/pokemon-tcg-pocket-169-en.png"", ""data-minwidth721px"": ""/static-assets/content-assets/cms2/img/video-games/_tiles/tcg-pocket/2026/07/23/pokemon-tcg-pocket-169-en.png"", ""alt"": ""Mega Rayquaza Takes Flight in Ruler of the Skies""}",0
333,div,8,,banner banner banner-green,{},124
334,h3,9,,,{},47
335,em,10,,,{},18
336,p,9,,,{},77
337,div,6,,content-block content-block-full hidden-mobile,{},20
338,h2,7,,section-title,{},20
339,a,6,,,"{""href"": ""/us/features/pokemon-champions-regulation-m-b-double-battles-overview""}",173
340,div,7,,content-block content-block-full,{},173
341,div,8,,tile-image-wrapper,{},0
342,img,9,,breakpoint rating-image,"{""src"": ""/static-assets/content-assets/cms2/img/video-games/_tiles/pokemon-champions/strategy/2026/regulation-m-b/pokemon-champions-169.png"", ""data-maxwidth720px"": ""/static-assets/content-assets/cms2/img/video-games/_tiles/pokemon-champions/strategy/2026/regulation-m-b/pokemon-champions-169.png"", ""data-minwidth721px"": ""/static-assets/content-assets/cms2/img/video-games/_tiles/pokemon-champions/strategy/2026/regulation-m-b/pokemon-champions-169.png"", ""alt"": ""Pokémon Champions Regulation M-B Double Battles Overview""}",0
343,div,8,,banner banner banner-lightblue,{},173
344,h3,9,,,{},56
345,p,9,,,{},117
346,div,5,,column-4 push-9 staggered-2,"{""data-tile-position"": ""Right_""}",355
347,a,6,,,"{""href"": ""/us/features/show-your-favorite-international-championships-style""}",179
348,div,7,,content-block content-block-full,{},179
349,div,8,,tile-image-wrapper,{},0
